"","dataset","group","algorithm","paths","ids","Institution","Model_organism","Age","Brain_region","Cell_type","Labeling_general","Labeling_acronym","Microscopy","Planar"
"817","e_checked6_zebrafish_larve_RGC_UW","Gold_Standard","0","00_sorted_12_3dpf_Live_1-28-2010_5-47-24_PM_med_Red.tif_uint8.v3dpbd.ano_stamp_2015_06_15_16_16.swc_resampled.swc.radius.swc_sorted.swc","116","UW","Zebrafish","Larvae","Retina","RGC","TG","TG-brn3c-MYFP","Confocal","3D"
"867","p_checked6_mouse_tufts","Gold_Standard","0","00_sorted_yun_dendrites_apical.v3dpbd_stamp_2015_06_15_15_02.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","117","Allen Institute","Mouse",NA,NA,NA,NA,NA,"Confocal","3D"
"876","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c3.tif.v3dpbd.ano_stamp_2015_06_16_17_31.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","118","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"971","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c5.tif.v3dpbd.ano_stamp_2015_06_16_18_53.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","119","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1037","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_C1-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_51.swc_resampled.swc.radius.swc_sorted.swc","12","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"1088","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c6.tif.v3dpbd.ano_stamp_2015_06_17_10_01.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","120","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1174","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_091204c2.tif.v3dpbd.ano_stamp_2015_06_15_16_19.swc_resampled.swc.radius.swc_sorted.swc","121","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1252","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c4.tif.v3dpbd.ano_stamp_2015_06_16_18_14.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","122","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1298","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_091201c1.tif.v3dpbd.ano_stamp_2015_06_15_14_45.swc_resampled.swc.radius.swc_sorted.swc","123","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1342","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c12.tif.v3dpbd.ano_stamp_2015_06_17_10_47.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","124","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1384","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_091226c2.tif.v3dpbd.ano_stamp_2015_06_15_16_57.swc_resampled.swc.radius.swc_sorted.swc","125","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1428","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c9.tif.v3dpbd.ano_stamp_2015_06_17_10_11.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","126","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1522","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c14.tif.v3dpbd.ano_stamp_2015_06_17_11_07.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","127","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1584","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c16.tif.v3dpbd.ano_stamp_2015_06_17_11_25.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","128","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1654","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_100108c3.tif.v3dpbd.ano_stamp_2015_06_15_17_13.swc_resampled.swc.radius.swc_sorted.swc","129","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1705","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c1.tif.v3dpbd.ano_stamp_2015_06_16_16_56.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","130","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1803","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_091202c2.tif.v3dpbd.ano_stamp_2015_06_15_15_28.swc_resampled.swc.radius.swc_sorted.swc","131","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1811","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_110203c3.tif.v3dpbd.ano_stamp_2015_06_15_17_57.swc_resampled.swc.radius.swc_sorted.swc","132","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1872","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140921c22.tif.v3dpbd.ano_stamp_2015_06_17_11_37.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","133","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"1982","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140918c8.tif.v3dpbd.ano_stamp_2015_06_16_13_46.swc_resampled.swc.radius.swc_sorted.swc","134","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"2007","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_100110c4.tif.v3dpbd.ano_stamp_2015_06_15_17_35.swc_resampled.swc.radius.swc_sorted.swc","135","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"2048","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_080926a.tif.v3dpbd.ano_stamp_2015_06_15_18_26.swc_resampled.swc.radius.swc_sorted.swc","136","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"2103","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140918c7.tif.v3dpbd.ano_stamp_2015_06_15_18_57.swc_resampled.swc.radius.swc_sorted.swc","137","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"2167","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140918c9.tif.v3dpbd.ano_stamp_2015_06_16_16_15.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","138","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"2232","p_checked6_mouse_RGC_uw","Gold_Standard","0","00_sorted_140918c3.tif.v3dpbd.ano_stamp_2015_06_17_11_59.swc_sorted.swc_resampled.swc.radius.swc_sorted.swc","139","UW","Mouse","P24","Retina","RGC","IHC","IHC-NF-ChAT","Confocal","2D"
"2358","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_1_D3-left_optic_lobe.v3draw.extract_11.v3dpbd.ano_stamp_2015_06_17_12_55.swc_resampled.swc.radius.swc_sorted.swc","14","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"2408","p_checked6_mouse_korea","Gold_Standard","0","00_sorted_1201_01_s06b_L36_Sum_ch2.tif.v3dpbd_stamp_2015_06_16_13_27.swc_resampled.swc.radius.swc_sorted.swc","140","KIST","Mouse","Adult","Hippocampal","CA1 pyramidal","TG","mGRASP","Confocal","3D"
"2409","p_checked6_mouse_korea","Gold_Standard","0","00_sorted_slice12_4to51_ch2.tif.v3dpbd.neuron1.ano_stamp_2015_06_16_17_57.swc_resampled.swc.radius.swc_sorted.swc","141","KIST","Mouse","Adult","Hippocampal","CA1 pyramidal","TG","mGRASP","Confocal","3D"
"2438","p_checked6_mouse_korea","Gold_Standard","0","00_sorted_1201_01_s10mm_ch2.tif.v3dpbd.ano_stamp_2015_06_16_16_09.swc_resampled.swc.radius.swc_sorted.swc","142","KIST","Mouse","Adult","Hippocampal","CA1 pyramidal","TG","mGRASP","Confocal","3D"
"2480","p_checked6_mouse_korea","Gold_Standard","0","00_sorted_120111_05new_ch2.tif.v3dpbd.neuron1.ano_stamp_2015_06_16_16_49.swc_resampled.swc.radius.swc_sorted.swc","143","KIST","Mouse","Adult","Hippocampal","CA1 pyramidal","TG","mGRASP","Confocal","3D"
"2536","p_checked6_zebrafish_horizontal_cells_UW","Gold_Standard","0","00_sorted_1_a_Ch2.tif_uint8.v3dpbd_stamp_2015_06_15_15_08.swc_resampled.swc.radius.swc_sorted.swc","144","UW","Zebrafish",NA,"Retina","Horizontal","TG","TG-brn3c-MYFP","Confocal","3D"
"2564","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000007_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_14_04.swc_resampled.swc.radius.swc_sorted.swc","145","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"2676","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000138_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_16_35.swc_resampled.swc.radius.swc_sorted.swc","148","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"2724","p_checked6_janelia_flylight_part2","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B1-left_optic_lobe.v3draw.extract_3.v3dpbd.ano_stamp_2015_06_17_10_48.swc_resampled.swc.radius.swc_sorted.swc","15","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"2821","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000142_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_17_13.swc_resampled.swc.radius.swc_sorted.swc","150","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"2891","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000126_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_15_35.swc_resampled.swc.radius.swc_sorted.swc","153","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"2953","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000140_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_17_00.swc_resampled.swc.radius.swc_sorted.swc","156","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3048","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111028_4_A5-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_09_59.swc_resampled.swc.radius.swc_sorted.swc","16","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3077","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000134_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_15_46.swc_resampled.swc.radius.swc_sorted.swc","162","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3163","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000157_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_17_40.swc_resampled.swc.radius.swc_sorted.swc","163","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3194","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000134_seg002.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_16_03.swc_resampled.swc.radius.swc_sorted.swc","170","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3331","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000106_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_15_21.swc_resampled.swc.radius.swc_sorted.swc","174","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3380","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000087_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_07_14_12_02.swc_resampled.swc.radius.swc_sorted.swc","178","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3455","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000094_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_14_40.swc_resampled.swc.radius.swc_sorted.swc","181","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3569","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000143_seg001.lsm_c_3.tif.v3dpbd_stamp_2015_06_15_17_16.swc_resampled.swc.radius.swc_sorted.swc","182","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3604","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000127_seg001.lsm_c_3.tif.v3dpbd_stamp_2015_06_15_15_41.swc_resampled.swc.radius.swc_sorted.swc","186","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3672","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000139_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_16_44.swc_resampled.swc.radius.swc_sorted.swc","195","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3780","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000006_seg002.lsm_c_3.tif.v3dpbd_stamp_2015_06_15_13_59.swc_resampled.swc.radius.swc_sorted.swc","197","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3848","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000144_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_17_20.swc_resampled.swc.radius.swc_sorted.swc","202","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"3928","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000135_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_16_26.swc_resampled.swc.radius.swc_sorted.swc","203","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4044","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000146_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_17_32.swc_resampled.swc.radius.swc_sorted.swc","209","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4097","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_4_B1-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_10.swc_resampled.swc.radius.swc_sorted.swc","21","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4161","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000006_seg001.lsm_c_3.tif.v3dpbd_stamp_2015_06_15_13_51.swc_resampled.swc.radius.swc_sorted.swc","214","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4238","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000096_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_14_55.swc_resampled.swc.radius.swc_sorted.swc","215","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4321","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000095_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_14_47.swc_resampled.swc.radius.swc_sorted.swc","217","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4377","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000069_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_14_33.swc_resampled.swc.radius.swc_sorted.swc","219","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4438","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111006_1_A4-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_11_31.swc_resampled.swc.radius.swc_sorted.swc","22","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4548","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000141_seg001.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_17_07.swc_resampled.swc.radius.swc_sorted.swc","225","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4602","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_5.v3dpbd_stamp_2015_06_15_18_45.swc_resampled.swc.radius.swc_sorted.swc","23","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4632","p_checked7_taiwan_flycirciut","Gold_Standard","0","00_sorted_uint8_ChaMARCM-F000138_seg002.lsm_c_3.tif.v3dpbd.ano_stamp_2015_06_15_16_39.swc_resampled.swc.radius.swc_sorted.swc","238","Taiwan - Flycircuit","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4717","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_4_E3-left_optic_lobe.v3draw.extract_1.v3dpbd.ano_stamp_2015_06_17_10_45.swc_resampled.swc.radius.swc_sorted.swc","24","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4785","p_checked6_frog_scrippts","Gold_Standard","0","00_sorted_Recon112012no2-2.v3dpbd.ano_stamp_2015_06_17_12_15.swc_resampled.swc.radius.swc_sorted.swc","245","Scripps","Frog","st47-48","tectum","Tectal neurons","TG","ep-TG-Gal4-eGFP","Confocal","3D"
"4795","p_checked6_frog_scrippts","Gold_Standard","0","00_sorted_Recon112012no3-2.v3dpbd.ano_stamp_2015_06_16_13_51.swc_resampled.swc.radius.swc_sorted.swc","249","Scripps","Frog","st47-48","tectum","Tectal neurons","TG","ep-TG-Gal4-eGFP","Confocal","3D"
"4831","p_checked7_janelia_flylight_part1","Gold_Standard","0","00_sorted_GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111107_2_C5-right_optic_lobe.v3draw.extract_0.v3dpbd.ano_stamp_2015_06_17_10_12.swc_resampled.swc.radius.swc_sorted.swc","25","Janelia - Flylight","Fruitfly","Adult","Many","Many","TG","TG-Gal4-GFP","Confocal","3D"
"4897","e_checked7_utokyo_fly","Gold_Standard","0","00_sorted_mushroom_body_ab_cell_neuron.v3dpbd.ano_stamp_2015_06_16_17_52.swc_resampled.swc.radius.swc_sorted.swc","250","U Tokio","Fruitfly",NA,NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
"4928","e_checked7_utokyo_fly","Gold_Standard","0","00_sorted_SLP_PN_neuron.v3dpbd.ano_stamp_2015_06_16_17_57.swc_resampled.swc.radius.swc_sorted.swc","251","U Tokio","Fruitfly",NA,NA,NA,"IHC","IHC-synaptotagmin","Confocal","3D"
