"","path","id","format"
"21","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_4_B1-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_4_B1-right_optic_lobe.v3draw.extract_0.v3dpbd",21,".v3dpbd"
"22","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111006_1_A4-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111006_1_A4-right_optic_lobe.v3draw.extract_0.v3dpbd",22,".v3dpbd"
"23","./checked3_fruitfly_janelia_flylight/err_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_5/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_5.v3dpbd",23,".v3dpbd"
"24","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_4_E3-left_optic_lobe.v3draw.extract_1/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_4_E3-left_optic_lobe.v3draw.extract_1.v3dpbd",24,".v3dpbd"
"25","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111107_2_C5-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111107_2_C5-right_optic_lobe.v3draw.extract_0.v3dpbd",25,".v3dpbd"
"29","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_C1-left_optic_lobe.v3draw.extract_2/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_C1-left_optic_lobe.v3draw.extract_2.v3dpbd",29,".v3dpbd"
"30","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_1/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_1.v3dpbd",30,".v3dpbd"
"31","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A7-right_optic_lobe.v3draw.extract_2/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A7-right_optic_lobe.v3draw.extract_2.v3dpbd",31,".v3dpbd"
"32","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20110929_1_B4-left_optic_lobe.v3draw.extract_1/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20110929_1_B4-left_optic_lobe.v3draw.extract_1.v3dpbd",32,".v3dpbd"
"34","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_1_C4-right_optic_lobe.v3draw.extract_3/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_1_C4-right_optic_lobe.v3draw.extract_3.v3dpbd",34,".v3dpbd"
"37","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111103_2_D3-left_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111103_2_D3-left_optic_lobe.v3draw.extract_0.v3dpbd",37,".v3dpbd"
"38","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_C7-left_optic_lobe.v3draw.extract_3/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_C7-left_optic_lobe.v3draw.extract_3.v3dpbd",38,".v3dpbd"
"39","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-left_optic_lobe.v3draw.extract_6/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-left_optic_lobe.v3draw.extract_6.v3dpbd",39,".v3dpbd"
"40","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A5-left_optic_lobe.v3draw.extract_2/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A5-left_optic_lobe.v3draw.extract_2.v3dpbd",40,".v3dpbd"
"41","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E2-right_optic_lobe.v3draw.extract_3/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E2-right_optic_lobe.v3draw.extract_3.v3dpbd",41,".v3dpbd"
"43","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_D2-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_D2-right_optic_lobe.v3draw.extract_0.v3dpbd",43,".v3dpbd"
"45","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_2_B3-right_optic_lobe.v3draw.extract_5/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_2_B3-right_optic_lobe.v3draw.extract_5.v3dpbd",45,".v3dpbd"
"47","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_B2-right_optic_lobe.v3draw.extract_0.v3dpbd",47,".v3dpbd"
"52","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111006_1_E1-right_optic_lobe.v3draw.extract_4/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111006_1_E1-right_optic_lobe.v3draw.extract_4.v3dpbd",52,".v3dpbd"
"53","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_F3-left_optic_lobe.v3draw.extract_6/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_F3-left_optic_lobe.v3draw.extract_6.v3dpbd",53,".v3dpbd"
"54","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_D1-left_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_D1-left_optic_lobe.v3draw.extract_0.v3dpbd",54,".v3dpbd"
"55","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-x-A02-20110612_1_B1-right_optic_lobe.v3draw.extract_7/GMR_57C10_AD_01-1xLwt_attp40_4stop1-x-A02-20110612_1_B1-right_optic_lobe.v3draw.extract_7.v3dpbd",55,".v3dpbd"
"58","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_1/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_1.v3dpbd",58,".v3dpbd"
"65","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A4-left_optic_lobe.v3draw.extract_5/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A4-left_optic_lobe.v3draw.extract_5.v3dpbd",65,".v3dpbd"
"67","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111004_3_E2-left_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111004_3_E2-left_optic_lobe.v3draw.extract_0.v3dpbd",67,".v3dpbd"
"69","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E1-right_optic_lobe.v3draw.extract_9/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E1-right_optic_lobe.v3draw.extract_9.v3dpbd",69,".v3dpbd"
"74","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111005_1_B5-left_optic_lobe.v3draw.extract_3/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111005_1_B5-left_optic_lobe.v3draw.extract_3.v3dpbd",74,".v3dpbd"
"76","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_4/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A1-right_optic_lobe.v3draw.extract_4.v3dpbd",76,".v3dpbd"
"77","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_F3-right_optic_lobe.v3draw.extract_10/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111103_3_F3-right_optic_lobe.v3draw.extract_10.v3dpbd",77,".v3dpbd"
"78","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_4_G2-right_optic_lobe.v3draw.extract_1/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_4_G2-right_optic_lobe.v3draw.extract_1.v3dpbd",78,".v3dpbd"
"84","./checked3_fruitfly_janelia_flylight/err_GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_4/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_4.v3dpbd",84,".v3dpbd"
"85","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_6/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-left_optic_lobe.v3draw.extract_6.v3dpbd",85,".v3dpbd"
"86","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_2_F3-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20111108_2_F3-right_optic_lobe.v3draw.extract_0.v3dpbd",86,".v3dpbd"
"90","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E4-right_optic_lobe.v3draw.extract_2/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_2_E4-right_optic_lobe.v3draw.extract_2.v3dpbd",90,".v3dpbd"
"91","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_4_C6-right_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-m-A-20111005_4_C6-right_optic_lobe.v3draw.extract_0.v3dpbd",91,".v3dpbd"
"92","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-right_optic_lobe.v3draw.extract_3/GMR_57C10_AD_01-1xLwt_attp40_4stop1-f-A01-20110325_3_A3-right_optic_lobe.v3draw.extract_3.v3dpbd",92,".v3dpbd"
"99","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20110929_1_D1-left_optic_lobe.v3draw.extract_0/GMR_57C10_AD_01-Two_recombinase_flipouts_A-f-A-20110929_1_D1-left_optic_lobe.v3draw.extract_0.v3dpbd",99,".v3dpbd"
"100","./checked3_fruitfly_janelia_flylight/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_1_D1-right_optic_lobe.v3draw.extract_9/GMR_57C10_AD_01-1xLwt_attp40_4stop1-m-A02-20111101_1_D1-right_optic_lobe.v3draw.extract_9.v3dpbd",100,".v3dpbd"
"101","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Series021/Series021.v3dpbd",101,".v3dpbd"
"102","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Series009/Series009.v3dpbd",102,".v3dpbd"
"103","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Series017/Series017.v3dpbd",103,".v3dpbd"
"104","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Series019/Series019.v3dpbd",104,".v3dpbd"
"105","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Image4/Image4.v3dpbd",105,".v3dpbd"
"106","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Image5/Image5.v3dpbd",106,".v3dpbd"
"107","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Image7/Image7.v3dpbd",107,".v3dpbd"
"108","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Image10/Image10.v3dpbd",108,".v3dpbd"
"109","./checked3_human_culturedcell_Cambridge_in_vitro_confocal_GFP/Image31/Image31.v3dpbd",109,".v3dpbd"
"110","./checked3_zebrafish_larve_RGC_UW/hard_10_3dpf_Live_1-28-2010_5-20-37_PM_med_Red.tif_uint8/10_3dpf_Live_1-28-2010_5-20-37_PM_med_Red.tif_uint8.v3dpbd",110,".v3dpbd"
"111","./checked3_zebrafish_larve_RGC_UW/1_1_Live_2-2-2010_9-52-24_AM_med_Red.tif_uint8/1_1_Live_2-2-2010_9-52-24_AM_med_Red.tif_uint8.v3dpbd",111,".v3dpbd"
"112","./checked3_zebrafish_larve_RGC_UW/1_5dpf_Live_1-30-2010_12-39-26_PM_med_Red.tif_uint8/1_5dpf_Live_1-30-2010_12-39-26_PM_med_Red.tif_uint8.v3dpbd",112,".v3dpbd"
"113","./checked3_zebrafish_larve_RGC_UW/6_1_Live_2-2-2010_11-05-38_AM_med_Red.tif_uint8/6_1_Live_2-2-2010_11-05-38_AM_med_Red.tif_uint8.v3dpbd",113,".v3dpbd"
"114","./checked3_zebrafish_larve_RGC_UW/hard_14_3dpf_Live_1-28-2010_6-16-41_PM_med_Red.tif_uint8/14_3dpf_Live_1-28-2010_6-16-41_PM_med_Red.tif_uint8.v3dpbd",114,".v3dpbd"
"115","./checked3_zebrafish_larve_RGC_UW/1_3dpf_Live_1-28-2010_2-32-58_PM_med_Green.tif_uint8/1_3dpf_Live_1-28-2010_2-32-58_PM_med_Green.tif_uint8.v3dpbd",115,".v3dpbd"
"116","./checked3_zebrafish_larve_RGC_UW/12_3dpf_Live_1-28-2010_5-47-24_PM_med_Red.tif_uint8/12_3dpf_Live_1-28-2010_5-47-24_PM_med_Red.tif_uint8.v3dpbd",116,".v3dpbd"
"117","./checked3_mouse_tufts/yun_dendrites_apical/yun_dendrites_apical.v3dpbd",117,".v3dpbd"
"118","./checked3_mouse_RGC_uw/140921c3/140921c3.tif.v3dpbd",118,".v3dpbd"
"119","./checked3_mouse_RGC_uw/140921c5/140921c5.tif.v3dpbd",119,".v3dpbd"
"120","./checked3_mouse_RGC_uw/140921c6/140921c6.tif.v3dpbd",120,".v3dpbd"
"121","./checked3_mouse_RGC_uw/091204c2/091204c2.tif.v3dpbd",121,".v3dpbd"
"122","./checked3_mouse_RGC_uw/140921c4/140921c4.tif.v3dpbd",122,".v3dpbd"
"123","./checked3_mouse_RGC_uw/091201c1/091201c1.tif.v3dpbd",123,".v3dpbd"
"124","./checked3_mouse_RGC_uw/140921c12/140921c12.tif.v3dpbd",124,".v3dpbd"
"125","./checked3_mouse_RGC_uw/091226c2/091226c2.tif.v3dpbd",125,".v3dpbd"
"126","./checked3_mouse_RGC_uw/140921c9/140921c9.tif.v3dpbd",126,".v3dpbd"
"127","./checked3_mouse_RGC_uw/140921c14/140921c14.tif.v3dpbd",127,".v3dpbd"
"128","./checked3_mouse_RGC_uw/140921c16/140921c16.tif.v3dpbd",128,".v3dpbd"
"129","./checked3_mouse_RGC_uw/100108c3/100108c3.tif.v3dpbd",129,".v3dpbd"
"130","./checked3_mouse_RGC_uw/140921c1/140921c1.tif.v3dpbd",130,".v3dpbd"
"131","./checked3_mouse_RGC_uw/091202c2/091202c2.tif.v3dpbd",131,".v3dpbd"
"132","./checked3_mouse_RGC_uw/110203c3/110203c3.tif.v3dpbd",132,".v3dpbd"
"133","./checked3_mouse_RGC_uw/140921c22/140921c22.tif.v3dpbd",133,".v3dpbd"
"134","./checked3_mouse_RGC_uw/140918c8/140918c8.tif.v3dpbd",134,".v3dpbd"
"135","./checked3_mouse_RGC_uw/100110c4/100110c4.tif.v3dpbd",135,".v3dpbd"
"136","./checked3_mouse_RGC_uw/080926a/080926a.tif.v3dpbd",136,".v3dpbd"
"137","./checked3_mouse_RGC_uw/140918c7/140918c7.tif.v3dpbd",137,".v3dpbd"
"138","./checked3_mouse_RGC_uw/140918c9/140918c9.tif.v3dpbd",138,".v3dpbd"
"139","./checked3_mouse_RGC_uw/err_140918c3/140918c3.tif.v3dpbd",139,".v3dpbd"
"140","./checked3_mouse_korea/1201_01_s06b_L36_Sum_ch2/1201_01_s06b_L36_Sum_ch2.tif.v3dpbd",140,".v3dpbd"
"141","./checked3_mouse_korea/slice12_4to51_ch2/slice12_4to51_ch2.tif.v3dpbd",141,".v3dpbd"
"142","./checked3_mouse_korea/1201_01_s10mm_ch2/1201_01_s10mm_ch2.tif.v3dpbd",142,".v3dpbd"
"143","./checked3_mouse_korea/120111_05new_ch2/120111_05new_ch2.tif.v3dpbd",143,".v3dpbd"
"144","./checked3_zebrafish_horizontal_cells_UW/1_a_Ch2/1_a_Ch2.tif_uint8.v3dpbd",144,".v3dpbd"
"145","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000007_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000007_seg001.lsm_c_3.tif.v3dpbd",145,".v3dpbd"
"148","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000138_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000138_seg001.lsm_c_3.tif.v3dpbd",148,".v3dpbd"
"150","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000142_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000142_seg001.lsm_c_3.tif.v3dpbd",150,".v3dpbd"
"153","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000126_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000126_seg001.lsm_c_3.tif.v3dpbd",153,".v3dpbd"
"156","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000140_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000140_seg001.lsm_c_3.tif.v3dpbd",156,".v3dpbd"
"162","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000134_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000134_seg001.lsm_c_3.tif.v3dpbd",162,".v3dpbd"
"163","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000157_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000157_seg001.lsm_c_3.tif.v3dpbd",163,".v3dpbd"
"170","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000134_seg002.lsm_c_3.tif/uint8_ChaMARCM-F000134_seg002.lsm_c_3.tif.v3dpbd",170,".v3dpbd"
"174","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000106_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000106_seg001.lsm_c_3.tif.v3dpbd",174,".v3dpbd"
"178","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000087_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000087_seg001.lsm_c_3.tif.v3dpbd",178,".v3dpbd"
"181","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000094_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000094_seg001.lsm_c_3.tif.v3dpbd",181,".v3dpbd"
"182","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000143_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000143_seg001.lsm_c_3.tif.v3dpbd",182,".v3dpbd"
"186","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000127_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000127_seg001.lsm_c_3.tif.v3dpbd",186,".v3dpbd"
"195","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000139_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000139_seg001.lsm_c_3.tif.v3dpbd",195,".v3dpbd"
"197","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000006_seg002.lsm_c_3.tif/uint8_ChaMARCM-F000006_seg002.lsm_c_3.tif.v3dpbd",197,".v3dpbd"
"202","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000144_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000144_seg001.lsm_c_3.tif.v3dpbd",202,".v3dpbd"
"203","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000135_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000135_seg001.lsm_c_3.tif.v3dpbd",203,".v3dpbd"
"209","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000146_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000146_seg001.lsm_c_3.tif.v3dpbd",209,".v3dpbd"
"214","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000006_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000006_seg001.lsm_c_3.tif.v3dpbd",214,".v3dpbd"
"215","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000096_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000096_seg001.lsm_c_3.tif.v3dpbd",215,".v3dpbd"
"217","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000095_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000095_seg001.lsm_c_3.tif.v3dpbd",217,".v3dpbd"
"219","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000069_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000069_seg001.lsm_c_3.tif.v3dpbd",219,".v3dpbd"
"225","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000141_seg001.lsm_c_3.tif/uint8_ChaMARCM-F000141_seg001.lsm_c_3.tif.v3dpbd",225,".v3dpbd"
"238","./checked3_fruitfly_taiwan_flycircuit/uint8_ChaMARCM-F000138_seg002.lsm_c_3.tif/uint8_ChaMARCM-F000138_seg002.lsm_c_3.tif.v3dpbd",238,".v3dpbd"
"245","./checked3_frog_scrippts/err_Recon112012no2-2/Recon112012no2-2.v3dpbd",245,".v3dpbd"
"249","./checked3_frog_scrippts/Recon112012no3-2/Recon112012no3-2.v3dpbd",249,".v3dpbd"
"250","./checked3_fruitfly_utokyo/mushroom_body_ab_cell_neuron/mushroom_body_ab_cell_neuron.v3dpbd",250,".v3dpbd"
"251","./checked3_fruitfly_utokyo/SLP_PN_neuron/SLP_PN_neuron.v3dpbd",251,".v3dpbd"
"252","./checked3_fruitfly_utokyo/WED_SLP_PN_neuron/WED_SLP_PN_neuron.v3dpbd",252,".v3dpbd"
"253","./checked3_fruitfly_utokyo/err_AL_GNG_LH_neuron/AL_GNG_LH_neuron.v3dpbd",253,".v3dpbd"
"254","./checked3_fruitfly_utokyo/err_ILP_PN_neuron/ILP_PN_neuron.v3dpbd",254,".v3dpbd"
"255","./checked3_fruitfly_utokyo/err_lAPT_PN1_neuron/lAPT_PN1_neuron.v3dpbd",255,".v3dpbd"
"256","./checked3_human_allen_confocal/in_house1/Cell1_40x_1.0umstep_H15.06.005.07.02_cell1.oif.files.v3dpbd",256,".v3dpbd"
"257","./checked3_human_allen_confocal/m16_cing_1_9_cropped/m16_cing_1_9_cropped_neurona.v3dpbd",257,".v3dpbd"
"258","./checked3_silkmoth_utokyo/0664_seg/0664_seg.v3dpbd",258,".v3dpbd"
